Source,Target
samhugget,NouraFayruz
Sheptianoctav,txtdrjkt
DakotaGeorgy,blisonny
pugutrigi8,Wilma_83
rogue_mercenary,noire172
YahyaAbdRmn,detikcom
dawiguna,Strategi_Bisnis
tasyajuwita,tempodotco
ukhtielya,Dahnilanzar
ukhtielya,prabowo
ya2nk_usman,hrdbacot
alfasaur_,marjinkiri
RoyThekop,tempodotco
awdyaa,tempodotco
arhesvisha,PartaiSocmed
RedPinapple23,PartaiSocmed
irwnfzii,Outstandjing
dsperdana,hrdbacot
MyIPLogger,Strategi_Bisnis
shutasouma,KemenperinRI
Ronym96650835,matakini
Ronym96650835,Strategi_Bisnis
M4RKHY,KemenperinRI
Moh_Jupri,kompascom
wllyylynto_3,PartaiSocmed
anasrstu,CNNIndonesia
Aiereen_LEE,ARSIPAJA
AGoeci,Strategi_Bisnis
bayuwicak14,kompascom
bacabudipekerti,Strategi_Bisnis
bacabudipekerti,alfredodragovic
alfredodragovic,Strategi_Bisnis
matakini,Strategi_Bisnis
idx_channel,Strategi_Bisnis
arok07_arok,prabowo
